destination,price,start_date,end_date,travel_duration,month,airline,stops,fetched_at
"Udaipur, India",307.0,2026-05-07,2026-05-11,Weekend,May,Air India,1,2026-02-03T15:15:06.627688
"Ko Samui, Thailand",330.0,2026-05-14,2026-05-18,Weekend,May,Scoot,0,2026-02-03T15:15:06.627692
"Da Nang, Vietnam",186.0,2026-05-07,2026-05-10,Weekend,May,Vietjet,0,2026-02-03T15:15:06.627696
"Kolkata, India",253.0,2026-05-08,2026-05-10,Weekend,May,Air India and Air India Express,1,2026-02-03T15:15:06.627700
"Taipei City, Taiwan",192.0,2026-05-07,2026-05-10,Weekend,May,Scoot,0,2026-02-03T15:15:06.627704
"Kochi, India",267.0,2026-05-14,2026-05-18,Weekend,May,Air India,1,2026-02-03T15:15:06.627708
"Kathmandu, Nepal",571.0,2026-05-21,2026-05-24,Weekend,May,Air India and Thai Lion Air,1,2026-02-03T15:15:06.627712
"Manila, Philippines",187.0,2026-05-07,2026-05-10,Weekend,May,Cebu Pacific and Scoot,0,2026-02-03T15:15:06.627716
"Bahrain, Bahrain",669.0,2026-05-28,2026-05-31,Weekend,May,Malaysia Airlines and Oman Air,2,2026-02-03T15:15:06.627720
"Macao, Macao",304.0,2026-05-14,2026-05-17,Weekend,May,Thai Lion Air,1,2026-02-03T15:15:06.627724
"Hyderabad, India",258.0,2026-05-07,2026-05-10,Weekend,May,Air India,1,2026-02-03T15:15:06.627728
"Shimla, India",300.0,2026-05-21,2026-05-24,Weekend,May,Air India,1,2026-02-03T15:15:06.627732
"Pattaya City, Thailand",159.0,2026-05-07,2026-05-11,Weekend,May,Thai Lion Air,0,2026-02-03T15:15:06.627736
"Rishikesh, India",329.0,2026-05-21,2026-05-24,Weekend,May,Air India,1,2026-02-03T15:15:06.627741
"Manali, India",300.0,2026-05-21,2026-05-24,Weekend,May,Air India,1,2026-02-03T15:15:06.627746
"Jodhpur, India",310.0,2026-05-14,2026-05-18,Weekend,May,Air India,1,2026-02-03T15:15:06.627750
"Munnar, India",267.0,2026-05-14,2026-05-18,Weekend,May,Air India,1,2026-02-03T15:15:06.627754
"Phú Quốc, Vietnam",185.0,2026-05-09,2026-05-11,Weekend,May,Vietjet,0,2026-02-03T15:15:06.627758
"Ranthambore National Park, India",291.0,2026-05-09,2026-05-11,Weekend,May,Air India,1,2026-02-03T15:15:06.627762
"Colombo, Sri Lanka",440.0,2026-05-22,2026-05-25,Weekend,May,Batik Air,1,2026-02-03T15:15:06.627766
"Puducherry, India",192.0,2026-05-07,2026-05-11,Weekend,May,Air India and Air India Express,2,2026-02-03T15:15:06.627771
"Sapporo, Japan",565.0,2026-05-21,2026-05-24,Weekend,May,Scoot and T'Way Air,1,2026-02-03T15:15:06.627777
"Chengdu, China",327.0,2026-05-07,2026-05-11,Weekend,May,AirAsia and AirAsia X,1,2026-02-03T15:15:06.627781
"Xi'An, China",356.0,2026-05-02,2026-05-04,Weekend,May,Scoot,0,2026-02-03T15:15:06.627785
"Boracay, Philippines",275.0,2026-05-28,2026-06-01,Weekend,May,Cebu Pacific,1,2026-02-03T15:15:06.627789
"Cebu City, Philippines",244.0,2026-05-16,2026-05-18,Weekend,May,Cebu Pacific,0,2026-02-03T15:15:06.627793
"Kaziranga National Park, India",339.0,2026-05-01,2026-05-03,Weekend,May,Air India and Air India Express,1,2026-02-03T15:15:06.627798
"Guwahati, India",339.0,2026-05-01,2026-05-03,Weekend,May,Air India and Air India Express,1,2026-02-03T15:15:06.627801
"Tashkent, Uzbekistan",628.0,2026-05-15,2026-05-18,Weekend,May,AirAsia and AirAsia X,1,2026-02-03T15:15:06.627806
"Niseko, Japan",565.0,2026-05-21,2026-05-24,Weekend,May,Scoot and T'Way Air,1,2026-02-03T15:15:06.627810
"Almaty, Kazakhstan",820.0,2026-05-21,2026-05-25,Weekend,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:06.627814
"Guam, Guam",752.0,2026-05-07,2026-05-11,Weekend,May,Philippine Airlines,1,2026-02-03T15:15:06.627818
"Tehran, Iran",1419.0,2026-05-01,2026-05-04,Weekend,May,"Emirates, flydubai, and Malaysia Airlines",2,2026-02-03T15:15:06.627822
"Ras Al-Khaimah, United Arab Emirates",503.0,2026-05-02,2026-05-03,Weekend,May,IndiGo,1,2026-02-03T15:15:06.627826
"Harbin, China",314.0,2026-05-01,2026-05-04,Weekend,May,China Southern,1,2026-02-03T15:15:06.627830
"Ulaanbaatar, Mongolia",781.0,2026-05-16,2026-05-18,Weekend,May,Jeju Air,1,2026-02-03T15:15:06.627835
"Furano, Japan",565.0,2026-05-21,2026-05-24,Weekend,May,Scoot and T'Way Air,1,2026-02-03T15:15:06.627849
"Isfahan, Iran",1419.0,2026-05-01,2026-05-04,Weekend,May,"Emirates, flydubai, and Malaysia Airlines",2,2026-02-03T15:15:06.627853
"Issyk Kul, Kyrgyzstan",820.0,2026-05-21,2026-05-25,Weekend,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:06.627858
"Asahikawa, Japan",565.0,2026-05-21,2026-05-24,Weekend,May,Scoot and T'Way Air,1,2026-02-03T15:15:06.627863
"Ürümqi, China",603.0,2026-05-01,2026-05-04,Weekend,May,China Southern and Chongqing Airlines,2,2026-02-03T15:15:06.627867
"Padang, Indonesia",193.0,2026-05-16,2026-05-18,Weekend,May,Scoot,0,2026-02-03T15:15:06.627873
"Gorkhi Terelj National Park, Mongolia",781.0,2026-05-16,2026-05-18,Weekend,May,Jeju Air,1,2026-02-03T15:15:06.627877
"Tokyo, Japan",370.0,2026-05-02,2026-05-11,1 Week,May,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:15:10.936718
"Hanoi, Vietnam",200.0,2026-05-07,2026-05-13,1 Week,May,Scoot,0,2026-02-03T15:15:10.936737
"Hong Kong, Hong Kong",281.0,2026-05-14,2026-05-21,1 Week,May,Scoot,0,2026-02-03T15:15:10.936743
"Hạ Long Bay, Vietnam",200.0,2026-05-07,2026-05-14,1 Week,May,Scoot,0,2026-02-03T15:15:10.936748
"Bangkok, Thailand",149.0,2026-05-11,2026-05-20,1 Week,May,Thai Lion Air,0,2026-02-03T15:15:10.936752
"Seoul, South Korea",336.0,2026-05-11,2026-05-20,1 Week,May,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:15:10.936757
"Ho Chi Minh City, Vietnam",152.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-03T15:15:10.936761
"Mumbai, India",360.0,2026-05-30,2026-06-08,1 Week,May,SriLankan,1,2026-02-03T15:15:10.936767
"New Delhi, India",359.0,2026-05-21,2026-05-27,1 Week,May,IndiGo,1,2026-02-03T15:15:10.936781
"Federal Territory of Kuala Lumpur, Malaysia",98.0,2026-05-10,2026-05-16,1 Week,May,AirAsia,0,2026-02-03T15:15:10.936790
"Dubai, United Arab Emirates",560.0,2026-05-01,2026-05-10,1 Week,May,Gulf Air,1,2026-02-03T15:15:10.936798
"Kyoto, Japan",414.0,2026-05-02,2026-05-08,1 Week,May,Peach Aviation and Scoot,0,2026-02-03T15:15:10.936805
"Chiang Mai, Thailand",265.0,2026-05-03,2026-05-09,1 Week,May,Scoot,0,2026-02-03T15:15:10.936811
"Jaipur, India",294.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936817
"Phuket, Thailand",143.0,2026-05-14,2026-05-20,1 Week,May,Scoot,0,2026-02-03T15:15:10.936823
"Chennai, India",182.0,2026-05-04,2026-05-13,1 Week,May,Scoot,0,2026-02-03T15:15:10.936829
"Goa, India",261.0,2026-05-04,2026-05-12,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936833
"Beijing, China",395.0,2026-05-03,2026-05-10,1 Week,May,Singapore Airlines,0,2026-02-03T15:15:10.936838
"Osaka, Japan",414.0,2026-05-02,2026-05-08,1 Week,May,Peach Aviation and Scoot,0,2026-02-03T15:15:10.936842
"Shanghai, China",273.0,2026-05-01,2026-05-07,1 Week,May,Spring,0,2026-02-03T15:15:10.936846
"Hội An, Vietnam",186.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-03T15:15:10.936851
"Bengaluru, India",206.0,2026-05-07,2026-05-13,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936855
"Abu Dhabi, United Arab Emirates",560.0,2026-05-01,2026-05-09,1 Week,May,Gulf Air,1,2026-02-03T15:15:10.936859
"Taipei City, Taiwan",192.0,2026-05-02,2026-05-08,1 Week,May,Scoot,0,2026-02-03T15:15:10.936862
"Varanasi, India",324.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936866
"Agra, India",359.0,2026-05-21,2026-05-27,1 Week,May,IndiGo,1,2026-02-03T15:15:10.936870
"Udaipur, India",307.0,2026-05-11,2026-05-20,1 Week,May,Air India,1,2026-02-03T15:15:10.936874
"Ko Samui, Thailand",330.0,2026-05-03,2026-05-10,1 Week,May,Scoot,0,2026-02-03T15:15:10.936878
"Kolkata, India",255.0,2026-05-07,2026-05-13,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936882
"Kochi, India",260.0,2026-05-28,2026-06-03,1 Week,May,Air India,1,2026-02-03T15:15:10.936886
"Kathmandu, Nepal",571.0,2026-05-15,2026-05-24,1 Week,May,Air India and Thai Lion Air,1,2026-02-03T15:15:10.936890
"Manila, Philippines",216.0,2026-05-11,2026-05-19,1 Week,May,Cebu Pacific,0,2026-02-03T15:15:10.936894
"Bahrain, Bahrain",669.0,2026-05-08,2026-05-17,1 Week,May,Malaysia Airlines and Oman Air,2,2026-02-03T15:15:10.936898
"Macao, Macao",286.0,2026-05-11,2026-05-19,1 Week,May,Thai Lion Air,1,2026-02-03T15:15:10.936901
"Hyderabad, India",255.0,2026-05-21,2026-05-28,1 Week,May,Air India,1,2026-02-03T15:15:10.936905
"Shimla, India",300.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-03T15:15:10.936909
"Da Nang, Vietnam",186.0,2026-05-07,2026-05-13,1 Week,May,Vietjet,0,2026-02-03T15:15:10.936913
"Phi Phi Islands, Thailand",143.0,2026-05-14,2026-05-20,1 Week,May,Scoot,0,2026-02-03T15:15:10.936917
"Rishikesh, India",329.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-03T15:15:10.936921
"Manali, India",300.0,2026-05-21,2026-05-27,1 Week,May,Air India,1,2026-02-03T15:15:10.936925
"Jodhpur, India",333.0,2026-05-07,2026-05-14,1 Week,May,Air India,1,2026-02-03T15:15:10.936929
"Munnar, India",260.0,2026-05-28,2026-06-03,1 Week,May,Air India,1,2026-02-03T15:15:10.936933
"Phú Quốc, Vietnam",175.0,2026-05-10,2026-05-16,1 Week,May,Vietjet,0,2026-02-03T15:15:10.936937
"Ranthambore National Park, India",294.0,2026-05-04,2026-05-11,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936941
"Colombo, Sri Lanka",308.0,2026-05-11,2026-05-18,1 Week,May,AirAsia,1,2026-02-03T15:15:10.936945
"Puducherry, India",182.0,2026-05-04,2026-05-13,1 Week,May,Scoot,0,2026-02-03T15:15:10.936954
"Sapporo, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-03T15:15:10.936964
"Chengdu, China",289.0,2026-05-07,2026-05-13,1 Week,May,AirAsia and AirAsia X,1,2026-02-03T15:15:10.936972
"Xi'An, China",351.0,2026-05-02,2026-05-11,1 Week,May,Thai Lion Air and Scoot,1,2026-02-03T15:15:10.936977
"Boracay, Philippines",271.0,2026-05-28,2026-06-04,1 Week,May,Cebu Pacific,1,2026-02-03T15:15:10.936981
"Cebu City, Philippines",220.0,2026-05-07,2026-05-13,1 Week,May,Cebu Pacific,1,2026-02-03T15:15:10.936985
"Kaziranga National Park, India",339.0,2026-05-18,2026-05-24,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936989
"Guwahati, India",339.0,2026-05-18,2026-05-24,1 Week,May,Air India and Air India Express,1,2026-02-03T15:15:10.936993
"Tashkent, Uzbekistan",610.0,2026-05-04,2026-05-11,1 Week,May,AirAsia and AirAsia X,1,2026-02-03T15:15:10.936998
"Niseko, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-03T15:15:10.937002
"Almaty, Kazakhstan",771.0,2026-05-11,2026-05-20,1 Week,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:10.937005
"Guam, Guam",752.0,2026-05-07,2026-05-13,1 Week,May,Philippine Airlines,1,2026-02-03T15:15:10.937009
"Tehran, Iran",1419.0,2026-05-01,2026-05-07,1 Week,May,"Emirates, flydubai, and Malaysia Airlines",2,2026-02-03T15:15:10.937014
"Harbin, China",314.0,2026-05-01,2026-05-07,1 Week,May,China Southern,1,2026-02-03T15:15:10.937019
"Ulaanbaatar, Mongolia",1170.0,2026-05-23,2026-05-31,1 Week,May,MIAT and Singapore Airlines,1,2026-02-03T15:15:10.937023
"Furano, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-03T15:15:10.937030
"Issyk Kul, Kyrgyzstan",771.0,2026-05-11,2026-05-20,1 Week,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:10.937035
"Asahikawa, Japan",537.0,2026-05-10,2026-05-19,1 Week,May,Scoot and T'Way Air,1,2026-02-03T15:15:10.937040
"Ürümqi, China",583.0,2026-05-02,2026-05-08,1 Week,May,Shandong,1,2026-02-03T15:15:10.937045
"Padang, Indonesia",193.0,2026-05-16,2026-05-23,1 Week,May,Scoot,0,2026-02-03T15:15:10.937050
"Gorkhi Terelj National Park, Mongolia",1170.0,2026-05-23,2026-05-31,1 Week,May,MIAT and Singapore Airlines,1,2026-02-03T15:15:10.937054
"Hong Kong, Hong Kong",290.0,2026-05-11,2026-05-25,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300387
"Hanoi, Vietnam",200.0,2026-05-07,2026-05-20,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300407
"Bangkok, Thailand",149.0,2026-05-07,2026-05-21,2 Weeks,May,Thai Lion Air,0,2026-02-03T15:15:20.300413
"Tokyo, Japan",370.0,2026-05-03,2026-05-19,2 Weeks,May,"AirAsia, AirAsia X, and Scoot",1,2026-02-03T15:15:20.300417
"Ho Chi Minh City, Vietnam",152.0,2026-05-07,2026-05-20,2 Weeks,May,Vietjet,0,2026-02-03T15:15:20.300422
"Mumbai, India",360.0,2026-05-30,2026-06-12,2 Weeks,May,SriLankan,1,2026-02-03T15:15:20.300426
"New Delhi, India",362.0,2026-05-21,2026-06-03,2 Weeks,May,IndiGo,1,2026-02-03T15:15:20.300430
"Federal Territory of Kuala Lumpur, Malaysia",100.0,2026-05-07,2026-05-20,2 Weeks,May,AirAsia,0,2026-02-03T15:15:20.300434
"Dubai, United Arab Emirates",560.0,2026-05-01,2026-05-14,2 Weeks,May,Gulf Air,1,2026-02-03T15:15:20.300439
"Kyoto, Japan",414.0,2026-05-03,2026-05-19,2 Weeks,May,Peach Aviation and Scoot,0,2026-02-03T15:15:20.300443
"Chiang Mai, Thailand",263.0,2026-05-04,2026-05-19,2 Weeks,May,Thai Lion Air and Scoot,1,2026-02-03T15:15:20.300448
"Jaipur, India",294.0,2026-05-04,2026-05-17,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300452
"Phuket, Thailand",143.0,2026-05-14,2026-05-28,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300457
"Seoul, South Korea",323.0,2026-05-28,2026-06-10,2 Weeks,May,Scoot and Vietjet,1,2026-02-03T15:15:20.300461
"Goa, India",261.0,2026-05-11,2026-05-26,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300465
"Beijing, China",380.0,2026-05-18,2026-05-31,2 Weeks,May,"AirAsia, Air China, Cathay Pacific, and AirAsia X",1,2026-02-03T15:15:20.300469
"Osaka, Japan",414.0,2026-05-03,2026-05-19,2 Weeks,May,Peach Aviation and Scoot,0,2026-02-03T15:15:20.300472
"Shanghai, China",290.0,2026-05-01,2026-05-16,2 Weeks,May,"Spring, AirAsia, and AirAsia X",1,2026-02-03T15:15:20.300477
"Hội An, Vietnam",186.0,2026-05-07,2026-05-20,2 Weeks,May,Vietjet,0,2026-02-03T15:15:20.300481
"Bengaluru, India",206.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300485
"Hạ Long Bay, Vietnam",200.0,2026-05-07,2026-05-20,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300489
"Abu Dhabi, United Arab Emirates",560.0,2026-05-01,2026-05-14,2 Weeks,May,Gulf Air,1,2026-02-03T15:15:20.300493
"Chennai, India",192.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Air India Express,2,2026-02-03T15:15:20.300504
"Varanasi, India",324.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300508
"Agra, India",362.0,2026-05-21,2026-06-03,2 Weeks,May,IndiGo,1,2026-02-03T15:15:20.300512
"Ko Samui, Thailand",339.0,2026-05-08,2026-05-21,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300517
"Kolkata, India",255.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300521
"Taipei City, Taiwan",211.0,2026-05-07,2026-05-20,2 Weeks,May,Scoot,0,2026-02-03T15:15:20.300525
"Kochi, India",260.0,2026-05-11,2026-05-25,2 Weeks,May,Air India,1,2026-02-03T15:15:20.300529
"Kathmandu, Nepal",562.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Thai Lion Air,1,2026-02-03T15:15:20.300533
"Manila, Philippines",198.0,2026-05-24,2026-06-08,2 Weeks,May,Cebu Pacific,0,2026-02-03T15:15:20.300537
"Bahrain, Bahrain",815.0,2026-05-28,2026-06-13,2 Weeks,May,"Gulf Air, Malaysia Airlines, and Oman Air",2,2026-02-03T15:15:20.300541
"Macao, Macao",285.0,2026-05-07,2026-05-20,2 Weeks,May,Thai Lion Air,1,2026-02-03T15:15:20.300545
"Hyderabad, India",261.0,2026-05-07,2026-05-20,2 Weeks,May,Air India,1,2026-02-03T15:15:20.300549
"Da Nang, Vietnam",186.0,2026-05-07,2026-05-20,2 Weeks,May,Vietjet,0,2026-02-03T15:15:20.300553
"Munnar, India",260.0,2026-05-11,2026-05-25,2 Weeks,May,Air India,1,2026-02-03T15:15:20.300560
"Phú Quốc, Vietnam",175.0,2026-05-10,2026-05-23,2 Weeks,May,Vietjet,0,2026-02-03T15:15:20.300564
"Ranthambore National Park, India",294.0,2026-05-04,2026-05-17,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300568
"Colombo, Sri Lanka",376.0,2026-05-11,2026-05-25,2 Weeks,May,AirAsia and Batik Air,1,2026-02-03T15:15:20.300572
"Puducherry, India",192.0,2026-05-07,2026-05-20,2 Weeks,May,Air India and Air India Express,2,2026-02-03T15:15:20.300577
"Sapporo, Japan",555.0,2026-05-03,2026-05-19,2 Weeks,May,Scoot,1,2026-02-03T15:15:20.300583
"Boracay, Philippines",261.0,2026-05-21,2026-06-04,2 Weeks,May,Cebu Pacific,1,2026-02-03T15:15:20.300588
"Cebu City, Philippines",214.0,2026-05-21,2026-06-05,2 Weeks,May,Cebu Pacific,0,2026-02-03T15:15:20.300592
"Kaziranga National Park, India",339.0,2026-05-18,2026-05-31,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300596
"Guwahati, India",339.0,2026-05-18,2026-05-31,2 Weeks,May,Air India and Air India Express,1,2026-02-03T15:15:20.300600
"Niseko, Japan",555.0,2026-05-03,2026-05-19,2 Weeks,May,Scoot,1,2026-02-03T15:15:20.300605
"Almaty, Kazakhstan",812.0,2026-05-10,2026-05-23,2 Weeks,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:20.300609
"Guam, Guam",752.0,2026-05-07,2026-05-20,2 Weeks,May,Philippine Airlines,1,2026-02-03T15:15:20.300613
"Tehran, Iran",1419.0,2026-05-01,2026-05-14,2 Weeks,May,"Emirates, flydubai, and Malaysia Airlines",2,2026-02-03T15:15:20.300618
"Harbin, China",329.0,2026-05-14,2026-05-27,2 Weeks,May,China Southern,1,2026-02-03T15:15:20.300622
"Issyk Kul, Kyrgyzstan",812.0,2026-05-10,2026-05-23,2 Weeks,May,"AirAsia, AirAsia X, Thai AirAsia, and Thai AirAsia X",1,2026-02-03T15:15:20.300634
"Bangkok, Thailand",189.0,2026-06-27,2026-06-29,Weekend,June,Thai Lion Air,0,2026-02-03T15:15:23.078403
"Federal Territory of Kuala Lumpur, Malaysia",128.0,2026-06-27,2026-06-29,Weekend,June,AirAsia and Scoot,0,2026-02-03T15:15:23.078423
"Hong Kong, Hong Kong",290.0,2026-06-11,2026-06-15,Weekend,June,Scoot,0,2026-02-03T15:15:23.078429
"Hanoi, Vietnam",211.0,2026-06-04,2026-06-08,Weekend,June,Scoot,0,2026-02-03T15:15:23.078433
"Tokyo, Japan",395.0,2026-06-26,2026-06-29,Weekend,June,Scoot and ZIPAIR Tokyo,0,2026-02-03T15:15:23.078437
"Ho Chi Minh City, Vietnam",159.0,2026-06-26,2026-06-29,Weekend,June,Scoot and Vietjet,0,2026-02-03T15:15:23.078442
"Mumbai, India",209.0,2026-06-25,2026-06-29,Weekend,June,Air India,2,2026-02-03T15:15:23.078446
"New Delhi, India",340.0,2026-06-25,2026-06-29,Weekend,June,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:23.078450
"Dubai, United Arab Emirates",560.0,2026-06-05,2026-06-08,Weekend,June,Gulf Air,1,2026-02-03T15:15:23.078455
"Kyoto, Japan",365.0,2026-06-25,2026-06-29,Weekend,June,Peach Aviation,0,2026-02-03T15:15:23.078459
"Chiang Mai, Thailand",262.0,2026-06-27,2026-06-29,Weekend,June,Thai Lion Air,1,2026-02-03T15:15:23.078464
"Jaipur, India",294.0,2026-06-18,2026-06-21,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078469
"Phuket, Thailand",176.0,2026-06-18,2026-06-22,Weekend,June,Scoot,0,2026-02-03T15:15:23.078473
"Seoul, South Korea",346.0,2026-06-11,2026-06-15,Weekend,June,Scoot and Vietjet,1,2026-02-03T15:15:23.078477
"Goa, India",470.0,2026-06-25,2026-06-28,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078481
"Beijing, China",294.0,2026-06-25,2026-06-29,Weekend,June,China Southern and Chongqing Airlines,1,2026-02-03T15:15:23.078485
"Osaka, Japan",365.0,2026-06-25,2026-06-29,Weekend,June,Peach Aviation,0,2026-02-03T15:15:23.078489
"Shanghai, China",328.0,2026-06-12,2026-06-14,Weekend,June,Spring and Vietjet,1,2026-02-03T15:15:23.078493
"Hội An, Vietnam",248.0,2026-06-11,2026-06-15,Weekend,June,Malaysia Airlines and Vietjet,1,2026-02-03T15:15:23.078498
"Bengaluru, India",201.0,2026-06-06,2026-06-07,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078502
"Hạ Long Bay, Vietnam",211.0,2026-06-04,2026-06-08,Weekend,June,Scoot,0,2026-02-03T15:15:23.078506
"Abu Dhabi, United Arab Emirates",560.0,2026-06-04,2026-06-08,Weekend,June,Gulf Air,1,2026-02-03T15:15:23.078510
"Chennai, India",192.0,2026-06-11,2026-06-15,Weekend,June,Air India and Air India Express,2,2026-02-03T15:15:23.078514
"Varanasi, India",343.0,2026-06-04,2026-06-07,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078518
"Agra, India",340.0,2026-06-27,2026-06-29,Weekend,June,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:23.078522
"Udaipur, India",500.0,2026-06-25,2026-06-28,Weekend,June,Air India,1,2026-02-03T15:15:23.078526
"Ko Samui, Thailand",374.0,2026-06-04,2026-06-07,Weekend,June,Scoot,0,2026-02-03T15:15:23.078531
"Kolkata, India",258.0,2026-06-06,2026-06-07,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078535
"George Town, Malaysia",126.0,2026-06-27,2026-06-29,Weekend,June,Scoot,0,2026-02-03T15:15:23.078539
"Taipei City, Taiwan",238.0,2026-06-18,2026-06-21,Weekend,June,Scoot,0,2026-02-03T15:15:23.078543
"Kochi, India",260.0,2026-06-11,2026-06-15,Weekend,June,Air India,1,2026-02-03T15:15:23.078547
"Kathmandu, Nepal",585.0,2026-06-25,2026-06-28,Weekend,June,Air India and Thai Lion Air,1,2026-02-03T15:15:23.078551
"Manila, Philippines",178.0,2026-06-18,2026-06-22,Weekend,June,Cebu Pacific,0,2026-02-03T15:15:23.078554
"Bahrain, Bahrain",895.0,2026-06-25,2026-06-28,Weekend,June,Etihad,1,2026-02-03T15:15:23.078558
"Macao, Macao",290.0,2026-06-26,2026-06-29,Weekend,June,Thai Lion Air and Scoot,1,2026-02-03T15:15:23.078562
"Hyderabad, India",271.0,2026-06-27,2026-06-29,Weekend,June,IndiGo and AirAsia,1,2026-02-03T15:15:23.078566
"Shimla, India",340.0,2026-06-27,2026-06-29,Weekend,June,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:23.078570
"Da Nang, Vietnam",248.0,2026-06-11,2026-06-15,Weekend,June,Malaysia Airlines and Vietjet,1,2026-02-03T15:15:23.078575
"Phi Phi Islands, Thailand",176.0,2026-06-04,2026-06-08,Weekend,June,Scoot,0,2026-02-03T15:15:23.078579
"Rishikesh, India",340.0,2026-06-25,2026-06-29,Weekend,June,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:23.078583
"Manali, India",340.0,2026-06-25,2026-06-29,Weekend,June,"IndiGo, AirAsia, and AirAsia X",1,2026-02-03T15:15:23.078587
"Jodhpur, India",310.0,2026-06-25,2026-06-28,Weekend,June,Air India,1,2026-02-03T15:15:23.078591
"Munnar, India",260.0,2026-06-11,2026-06-15,Weekend,June,Air India,1,2026-02-03T15:15:23.078595
"Phú Quốc, Vietnam",286.0,2026-06-25,2026-06-28,Weekend,June,Vietjet,0,2026-02-03T15:15:23.078600
"Ranthambore National Park, India",294.0,2026-06-18,2026-06-21,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078604
"Colombo, Sri Lanka",440.0,2026-06-05,2026-06-08,Weekend,June,Batik Air,1,2026-02-03T15:15:23.078608
"Puducherry, India",192.0,2026-06-11,2026-06-15,Weekend,June,Air India and Air India Express,2,2026-02-03T15:15:23.078612
"Sapporo, Japan",577.0,2026-06-12,2026-06-15,Weekend,June,T'Way Air,1,2026-02-03T15:15:23.078618
"Chengdu, China",405.0,2026-06-13,2026-06-15,Weekend,June,Cathay Pacific,1,2026-02-03T15:15:23.078622
"Xi'An, China",448.0,2026-06-13,2026-06-15,Weekend,June,China Southern,1,2026-02-03T15:15:23.078626
"Boracay, Philippines",282.0,2026-06-20,2026-06-22,Weekend,June,Cebu Pacific,1,2026-02-03T15:15:23.078630
"Cebu City, Philippines",186.0,2026-06-25,2026-06-28,Weekend,June,Cebu Pacific,0,2026-02-03T15:15:23.078634
"Kaziranga National Park, India",351.0,2026-06-18,2026-06-21,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078639
"Guwahati, India",351.0,2026-06-18,2026-06-21,Weekend,June,Air India and Air India Express,1,2026-02-03T15:15:23.078642
"Tashkent, Uzbekistan",649.0,2026-06-26,2026-06-29,Weekend,June,AirAsia and AirAsia X,1,2026-02-03T15:15:23.078647
